scope,name,metric,value
category,refusal,answer_point_recall,1.0
category,refusal,behavior_evaluated_cases,5
category,refusal,behavior_unavailable_cases,0
category,refusal,citation_precision,0.8666666666666666
category,refusal,citation_recall,1.0
category,refusal,cost_per_case_usd,0.0
category,refusal,cost_per_successful_answer_usd,0.0
category,refusal,cost_score,1.0
category,refusal,error_rate,0.0
category,refusal,failed_cases,5
category,refusal,format_score,1.0
category,refusal,latency_score,1.0
category,refusal,median_latency_ms,0
category,refusal,overall_score,0.8166666666666667
category,refusal,p95_latency_ms,1
category,refusal,passed_cases,0
category,refusal,refusal_accuracy,0.0
category,refusal,severe_hallucination_count,5
category,refusal,total_cases,5
category,refusal,total_estimated_cost_usd,0.0
category,refusal,total_input_tokens,0
category,refusal,total_output_tokens,0
category,refusal,total_tokens,0
category,refusal,unsupported_claim_count,5
